row ID,row m/z,row retention time,26C sample 1 Peak status,26C sample 1 Peak name,26C sample 1 Peak m/z,26C sample 1 Peak RT,
771,234.0877685546875,11.396245,DETECTED,234.088 m/z @11.4 [26C sample 1],234.0877685546875,11.396245,
772,234.09849548339844,12.46758,DETECTED,234.098 m/z @12.5 [26C sample 1],234.09849548339844,12.46758,
773,234.1092529296875,16.17534333333333,DETECTED,234.109 m/z @16.2 [26C sample 1],234.1092529296875,16.17534333333333,
774,234.13426208496094,38.70757833333333,DETECTED,234.134 m/z @38.7 [26C sample 1],234.13426208496094,38.70757833333333,
775,234.1497802734375,39.67874666666667,DETECTED,234.150 m/z @39.7 [26C sample 1],234.1497802734375,39.67874666666667,
776,234.8407440185547,31.055078333333334,DETECTED,234.841 m/z @31.1 [26C sample 1],234.8407440185547,31.055078333333334,
777,234.85580444335938,29.79024666666667,DETECTED,234.856 m/z @29.8 [26C sample 1],234.85580444335938,29.79024666666667,
778,234.88258361816406,29.83841333333333,DETECTED,234.883 m/z @29.8 [26C sample 1],234.88258361816406,29.83841333333333,
779,234.90811157226562,29.908915000000004,DETECTED,234.908 m/z @29.9 [26C sample 1],234.90811157226562,29.908915000000004,
780,234.91873168945312,29.83841333333333,DETECTED,234.919 m/z @29.8 [26C sample 1],234.91873168945312,29.83841333333333,
781,234.98130798339844,30.004911666666665,DETECTED,234.981 m/z @30.0 [26C sample 1],234.98130798339844,30.004911666666665,
782,235.02114868164062,14.547089999999999,DETECTED,235.021 m/z @14.5 [26C sample 1],235.02114868164062,14.547089999999999,
783,235.05577087402344,11.374246666666666,DETECTED,235.056 m/z @11.4 [26C sample 1],235.05577087402344,11.374246666666666,
784,235.09336853027344,12.46758,DETECTED,235.093 m/z @12.5 [26C sample 1],235.09336853027344,12.46758,
785,235.1125030517578,16.17534333333333,DETECTED,235.113 m/z @16.2 [26C sample 1],235.1125030517578,16.17534333333333,
786,235.16983032226562,3.1075233333333334,DETECTED,235.170 m/z @3.1 [26C sample 1],235.16983032226562,3.1075233333333334,
787,235.92181396484375,29.66953333333333,DETECTED,235.922 m/z @29.7 [26C sample 1],235.92181396484375,29.66953333333333,
788,235.95144653320312,14.407751666666666,DETECTED,235.951 m/z @14.4 [26C sample 1],235.95144653320312,14.407751666666666,
789,236.08152770996094,15.245421666666667,DETECTED,236.082 m/z @15.2 [26C sample 1],236.08152770996094,15.245421666666667,
790,236.0965576171875,12.419245,DETECTED,236.097 m/z @12.4 [26C sample 1],236.0965576171875,12.419245,
791,236.11932373046875,6.686333333333333,DETECTED,236.119 m/z @6.7 [26C sample 1],236.11932373046875,6.686333333333333,
792,236.17221069335938,2.980426666666667,DETECTED,236.172 m/z @3.0 [26C sample 1],236.17221069335938,2.980426666666667,
793,236.59759521484375,14.068746666666668,DETECTED,236.598 m/z @14.1 [26C sample 1],236.59759521484375,14.068746666666668,
794,236.64268493652344,8.619921666666666,DETECTED,236.643 m/z @8.6 [26C sample 1],236.64268493652344,8.619921666666666,
795,236.922607421875,29.743246666666668,DETECTED,236.923 m/z @29.7 [26C sample 1],236.922607421875,29.743246666666668,
796,236.99903869628906,15.094579999999999,DETECTED,236.999 m/z @15.1 [26C sample 1],236.99903869628906,15.094579999999999,
797,237.01678466796875,13.168079999999998,DETECTED,237.017 m/z @13.2 [26C sample 1],237.01678466796875,13.168079999999998,
798,237.06277465820312,3.2597466666666666,DETECTED,237.063 m/z @3.3 [26C sample 1],237.06277465820312,3.2597466666666666,
799,237.09141540527344,13.899411666666667,DETECTED,237.091 m/z @13.9 [26C sample 1],237.09141540527344,13.899411666666667,
800,237.11537170410156,6.712255,DETECTED,237.115 m/z @6.7 [26C sample 1],237.11537170410156,6.712255,
801,237.14927673339844,3.1312450000000003,DETECTED,237.149 m/z @3.1 [26C sample 1],237.14927673339844,3.1312450000000003,
